linguagem,algoritmo,entrada,tempo 1,tempo 2,
Python,bubble_sort,10,0,0,
Python,bubble_sort,100,0.000999,0.001,
Python,bubble_sort,1000,0.037094,0.03922,
Python,bubble_sort,10000,3.971749,4.055832,
Python,bubble_sort,100000,417.088226,416.735404,
Python,quick_sort,10,0,0,
Python,quick_sort,100,0,0,
Python,quick_sort,1000,0.000999,0.001,
Python,quick_sort,10000,0.015043,0.016087,
Python,quick_sort,100000,0.197858,0.193607,
Python,selection_sort,10,0,0,
Python,selection_sort,100,0,0,
Python,selection_sort,1000,0.016051,0.020051,
Python,selection_sort,10000,1.656332,1.690077,
Python,selection_sort,100000,178.703016,178.714657,
C,bubble_sort,10,0.000001,0.000001,
C,bubble_sort,100,0.000027,0.000026,
C,bubble_sort,1000,0.001348,0.001313,
C,bubble_sort,10000,0.126805,0.127342,
C,bubble_sort,100000,22.48583,22.313617,
C,quick_sort,10,0.000002,0.000002,
C,quick_sort,100,0.000008,0.000013,
C,quick_sort,1000,0.000083,0.000077,
C,quick_sort,10000,0.000951,0.000926,
C,quick_sort,100000,0.011543,0.011493,
C,selection_sort,10,0.000002,0.000002,
C,selection_sort,100,0.000018,0.000018,
C,selection_sort,1000,0.000809,0.000759,
C,selection_sort,10000,0.069614,0.073055,
C,selection_sort,100000,7.177409,7.327557,
